Quote,Quoter
"""In a gentle way, you can shake the world.""",Mahatma Gandhi
"""In doing something, do it with love or never do it at all.""",Mahatma Gandhi
"""The best way to find yourself is to lose yourself in the service of others.""",Mahatma Gandhi
"""The time to repair the roof is when the sun is shining.""",John F. Kennedy
"""You can succeed best and quickest by helping others to succeed.""",Napoleon Hill
"""Failure cannot cope with persistence.""",Napoleon Hill
"""Simplicity is the ultimate sophistication.""",Leonardo da Vinci
"""You do not enter the future. You create the future.""",Jaime Escalante
"""Extravagance is its own destroyer.""",Zeno
"""The human mind will not be confined to any limits.""",Johann Wolfgang von Goethe
"""It is the rare broom salesman who mentions the vacuum.""",Lionel Seidman
"""When there is no enemy within, the enemy outside can do us no harm.""",African proverb
"""How you do anything is how you do everything.""",T. Harv Eker // spelling?
"""Magic will find those with pure hearts, even when all seems lost.""",Morgan Rhodes
"""You make the commitment, and nature will respond to that commitment by removing impossible obstacles.""",Terence McKenna
"""We must all face the choice between what is right and what is easy.""",Albus Dumbledore
"""Teamwork is the fuel that allows common people to attain uncommon results.""",Andrew Carnegie
"""Dream no small dreams for they have no power to move the hearts of men.""",Johann Wolfgang von Goethe
"""Change your thoughts and you change your world.""",Norman Vincent Peale
"""Success is not final; failure is not fatal: It is the courage to continue that counts.""",Winston S. Churchill
"""I attribute my success to this: I never gave or took any excuse.""",Florence Nightingale
"""The question isn't who is going to let me; it's who is going to stop me.""","Ayn Rand, book: The Fountainhead"
"""So many things are possible, just as long as you don’t know they’re impossible.""","Norton Juster, book: The Phantom Tollbooth"
"""When you want something, all the universe conspires in helping you achieve it.""","Paulo Coelho, book: The Alchemist"
"""So many things are possible, just as long as you don’t know they’re impossible.""",Norton Juster
"""Be fearless in the pursuit of what sets your soul on fire.""",Jennifer Lee
"""Impossible is a word found only in the dictionary of fools.""",Napoleon Bonaparte
"""There is often less danger in the things we fear than in the things we desire.""",John Churton Collins
"""Everything I've ever done that's valuable is something I was afraid to try.""",Amy Chua
"""Patience is the strength of the weak. Impatience is the weakness of the strong.""",Emmanuel Kant
"""If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.""",Steve Jobs
"""Success is having what you want. Happiness is wanting what you have.""",Dale Carnegie
"""Be careful how you think; your life is shaped by your thoughts.""",Proverbs 4:23
"""A fool admires complexity, a genius admires simplicity.""",Terry A. Davis
"""If you can't fly, run. If you can't run, walk. If you can't walk, crawl, but by all means keep moving.""",Dr. Martin Luther King Jr.
"""The fears you don't face become your limits.""",Robin Sharma
"""If a man knows not to which port he sails, no wind is favorable.""",Seneca
"""If I have seen further than others, it is by standing upon the shoulders of giants.""",Isaac Newton
"""You can never really go wrong if you take nature as an example.""",Christian Dior
"""If your dreams don't scare you, they are too small.""",Richard Branson
"""There are five levels of intellect: smart, intelligent, brilliant, genius and simple.""",Albert Einstein
"""When you arise in the morning, think of what a precious privilege it is to be alive – to breathe, to think, to enjoy, to love.""",Marcus Aurelius
"""Man’s mind stretched to a new idea never goes back to its original dimensions.""",Oliver Wendell Holmes
"""The only strategy that is guaranteed to fail is not taking risks.""",Mark Zuckerberg
"""Whenever a thing is done for the first time, it releases a little demon.""",Emily Dickinson
"""Genius disdains a beaten path. It seeks regions hitherto unexplored.""",Abraham Lincoln
"""Once you replace negative thoughts with positive ones, you'll start having positive results.""",Willie Nelson
"""The secret of happiness is something to do.""",John Burroughs
"""Hatred does not cease by hatred, but only by love.""",Buddha
"""Who, being loved, is poor?.""",Oscar Wilde
"""The truth is rarely pure and never simple.""",Oscar Wilde
"""Things do not happen. Things are made to happen.""",John F. Kennedy
"""In order to succeed, we must first believe that we can.""",Nikos Kazantzakis
"""The true sign of intelligence is not knowledge but imagination.""",Albert Einstein
"""It is a miracle that curiosity survives formal education.""",Albert Einstein
"""The high destiny of the individual is to serve rather than to rule.""",Albert Einstein
"""No problem can withstand the assault of sustained thinking.""",Voltaire
"""Let us read and let us dance - two amusements that will never do any harm to the world.""",Voltaire
"""Honesty is the first chapter in the book of wisdom.""",Thomas Jefferson
"""Wine is constant proof that God loves us and loves to see us happy.""",Benjamin Franklin
"""Success is often achieved by those who don't know that failure is inevitable.""",Coco Chanel
"""Love takes up where knowledgeleaves off .""",Thomas Aquinas
"""The way to know life is to love many things.""",Vincent Van Gogh
"""No one has ever loved anyone the way everyone wants to be loved.""",Mignon McLaughlin
"""Learning too soon our limitations, we never learn our powers.""",Mignon McLaughlin
"""A successful marriage requires falling in love many times, always with the same person.""",Mignon McLaughlin
"""Every society honors its live conformists and its dead troublemakers.""",Mignon McLaughlin
"""Peace cannot be kept by force; it can only be achieved by understanding.""",Albert Einstein
"""Replacefear with curiosity.""",Steven Spielberg
"""How long are you going to wait before you demand the best for yourself .""",Epictetus
"""It's hard to beat a person who never gives up.""",Babe Ruth
"""Impossible is for the unwilling.""",John Keats
"""A positive mind finds opportunity in everything.""",
"""Life is either a daring adventure or nothing at all.""",Helen Keller
"""The final forming of a person's character lies in their own hands.""",Anne Frank
"""A person needs a little madness, or else they never dare cut the rope and be free.""",Nikos Kazantzakis
"""What do we live for, if not to make life less difficult for each other?.""",George Eliot
"""Don't wait. The time will never be just right.""",Napoleon Hill
"""Bad ideas can easily hide in complexity, but they can't hide in simplicity.""",Shane Parrish
"""It is said that fools rush to judge, while the wise watch and wait.""",Penelope Featherington
"""The only real failure is the failure to try.""",Judi Dench
"""Every incremental dollar that is gross margin, Google or Facebook will just extract, because it's a perfect marketplace, and that's just the world we live in right now.""",Garry Tan
"""I think Meta is probably really dropping the ball on how they're thinking about creators... that's sort of the regime we live in.""",Garry Tan
